id,machine_counts,job_counts,w_min,w_max,p_min,p_max,processing_time_range,weighted_processing_time_range
193,4,7,0,5,24,27,3,135
194,3,9,0,5,16,22,6,110
195,1,7,0,2,31,35,4,70
196,1,17,0,2,11,48,37,96
197,1,16,0,3,5,32,27,96
198,3,12,0,4,16,32,16,128
199,3,7,0,5,7,27,20,135
200,4,7,0,2,16,39,23,78
201,3,15,0,8,39,41,2,328
202,3,19,0,1,23,31,8,31
203,1,16,0,4,7,35,28,140
204,1,11,0,4,10,24,14,96
205,1,9,0,1,16,24,8,24
206,1,8,0,9,28,49,21,441
207,4,17,0,6,30,35,5,210
208,1,5,0,4,32,41,9,164
209,3,11,0,1,16,25,9,25
210,1,11,0,9,20,42,22,378
211,1,18,0,5,21,46,25,230
212,3,8,0,9,36,47,11,423
213,2,7,0,9,15,34,19,306
214,3,12,0,2,48,49,1,98
215,2,19,0,7,8,39,31,273
216,4,18,0,6,16,28,12,168
217,2,12,0,8,28,49,21,392
218,3,10,0,4,23,38,15,152
219,3,6,0,1,11,36,25,36
220,1,7,0,1,5,49,44,49
221,4,8,0,3,5,24,19,72
222,2,11,0,5,30,32,2,160
223,3,9,0,7,6,33,27,231
224,1,17,0,4,5,27,22,108
225,1,20,0,2,25,42,17,84
226,4,9,0,8,5,50,45,400
227,3,19,0,8,20,48,28,384
228,4,11,0,3,23,48,25,144
229,1,8,0,1,22,42,20,42
230,1,20,0,1,19,36,17,36
231,1,16,0,5,15,21,6,105
232,1,8,0,3,14,33,19,99
233,1,19,0,8,5,44,39,352
234,1,13,0,7,41,42,1,294
235,2,10,0,3,20,46,26,138
236,4,13,0,7,41,44,3,308
237,4,17,0,4,23,24,1,96
238,1,12,0,2,25,36,11,72
239,1,11,0,4,6,30,24,120
240,4,7,0,7,23,43,20,301
241,2,13,0,7,21,44,23,308
242,1,8,0,6,6,45,39,270
243,1,9,0,7,27,43,16,301
244,1,15,0,3,19,32,13,96
245,1,7,0,8,23,30,7,240
246,2,16,0,3,11,19,8,57
247,2,11,0,4,20,25,5,100
248,2,19,0,4,31,50,19,200
249,2,11,0,6,22,23,1,138
250,2,19,0,4,36,43,7,172
251,1,18,0,2,8,32,24,64
252,2,15,0,3,5,14,9,42
253,4,18,0,2,5,33,28,66
254,2,20,0,1,8,18,10,18
255,3,17,0,9,21,38,17,342
256,4,13,0,9,18,24,6,216
257,2,7,0,3,26,46,20,138
258,3,9,0,1,42,46,4,46
259,1,13,0,8,37,39,2,312
260,2,6,0,4,30,36,6,144
261,1,10,0,8,38,41,3,328
262,2,8,0,8,10,30,20,240
263,2,16,0,3,5,11,6,33
264,4,16,0,1,18,34,16,34
265,1,7,0,4,19,27,8,108
266,1,12,0,6,23,45,22,270
267,4,6,0,4,14,42,28,168
268,1,18,0,2,27,31,4,62
269,2,18,0,4,16,25,9,100
270,2,5,0,3,19,40,21,120
271,4,9,0,6,6,24,18,144
272,1,19,0,1,5,10,5,10
273,4,8,0,9,12,49,37,441
274,4,11,0,6,9,28,19,168
275,1,9,0,6,34,36,2,216
276,4,11,0,5,37,40,3,200
277,3,16,0,9,21,25,4,225
278,2,13,0,5,13,17,4,85
279,1,12,0,1,31,48,17,48
280,2,15,0,5,33,35,2,175
281,2,14,0,6,33,44,11,264
282,2,10,0,7,41,46,5,322
283,3,15,0,4,9,48,39,192
284,1,11,0,2,9,21,12,42
285,3,6,0,1,9,12,3,12
286,4,16,0,5,16,44,28,220
287,4,11,0,8,5,17,12,136
288,2,17,0,2,24,42,18,84
289,1,5,0,4,25,43,18,172
290,2,12,0,3,34,44,10,132
291,2,6,0,1,34,37,3,37
292,2,16,0,5,9,49,40,245
293,2,6,0,1,13,30,17,30
294,2,11,0,5,7,15,8,75
295,3,9,0,3,11,39,28,117
296,4,20,0,1,12,44,32,44
297,3,19,0,7,14,25,11,175
298,2,11,0,2,23,48,25,96
299,3,19,0,7,30,47,17,329
300,3,14,0,3,43,50,7,150
301,2,17,0,9,21,43,22,387
302,3,18,0,5,12,42,30,210
303,2,7,0,1,25,41,16,41
304,3,15,0,1,14,49,35,49
305,3,7,0,6,6,25,19,150
306,4,10,0,6,18,34,16,204
307,3,10,0,4,16,20,4,80
308,2,13,0,6,19,45,26,270
309,2,7,0,9,33,44,11,396
310,1,19,0,4,10,24,14,96
311,3,8,0,7,10,43,33,301
312,1,8,0,2,7,7,0,14
313,1,5,0,2,11,42,31,84
314,1,17,0,9,8,45,37,405
315,4,18,0,9,7,18,11,162
316,3,7,0,4,14,22,8,88
317,1,19,0,8,16,48,32,384
318,4,19,0,3,36,43,7,129
319,1,16,0,4,12,17,5,68
320,2,20,0,8,7,46,39,368
321,4,20,0,3,10,16,6,48
322,1,20,0,8,6,13,7,104
323,1,10,0,4,16,20,4,80
324,2,14,0,1,18,28,10,28
325,2,20,0,7,15,31,16,217
326,3,17,0,5,28,36,8,180
327,1,11,0,8,6,22,16,176
328,4,5,0,8,30,47,17,376
329,3,7,0,4,28,36,8,144
330,3,7,0,1,12,41,29,41
331,1,7,0,1,24,46,22,46
332,1,7,0,5,24,46,22,230
333,4,19,0,5,15,18,3,90
334,2,15,0,5,5,18,13,90
335,4,12,0,2,30,37,7,74
336,2,17,0,6,22,36,14,216
337,1,16,0,8,10,44,34,352
338,3,17,0,4,17,20,3,80
339,3,5,0,3,13,45,32,135
340,3,7,0,6,24,47,23,282
341,2,7,0,1,18,46,28,46
342,1,14,0,1,20,39,19,39
343,3,9,0,6,19,30,11,180
344,1,9,0,2,11,26,15,52
345,3,20,0,8,8,27,19,216
346,3,17,0,7,13,44,31,308
347,3,5,0,1,16,21,5,21
348,2,14,0,5,12,40,28,200
349,4,15,0,2,33,41,8,82
350,4,12,0,6,27,36,9,216
351,4,8,0,8,12,38,26,304
352,3,7,0,6,23,41,18,246
353,4,18,0,6,10,50,40,300
354,2,9,0,9,15,39,24,351
355,3,6,0,2,17,22,5,44
356,4,5,0,3,11,48,37,144
357,4,16,0,7,19,22,3,154
358,1,9,0,8,42,50,8,400
359,3,19,0,5,19,32,13,160
360,3,12,0,1,29,49,20,49
361,2,14,0,6,11,33,22,198
362,4,6,0,1,15,38,23,38
363,3,9,0,1,16,30,14,30
364,1,15,0,6,25,43,18,258
365,3,19,0,5,12,38,26,190
366,4,17,0,9,36,38,2,342
367,1,15,0,2,5,20,15,40
368,2,16,0,6,35,41,6,246
369,4,16,0,4,28,29,1,116
370,3,7,0,6,26,36,10,216
371,3,15,0,3,10,31,21,93
372,4,6,0,2,7,12,5,24
373,4,18,0,1,8,40,32,40
374,4,16,0,6,29,47,18,282
375,3,6,0,8,8,12,4,96
376,3,11,0,5,32,34,2,170
377,1,13,0,7,15,34,19,238
378,2,15,0,6,21,26,5,156
379,3,7,0,5,14,25,11,125
380,2,16,0,3,16,46,30,138
381,3,10,0,1,11,31,20,31
382,4,15,0,8,14,23,9,184
383,4,9,0,1,48,50,2,50
384,1,10,0,3,37,39,2,117
385,3,8,0,8,13,29,16,232
386,3,14,0,4,5,40,35,160
387,2,7,0,3,20,40,20,120
388,4,19,0,6,11,50,39,300
389,3,9,0,6,13,21,8,126
390,1,7,0,3,27,40,13,120
391,3,18,0,3,24,49,25,147
392,3,6,0,6,14,35,21,210
393,4,9,0,3,8,16,8,48
394,3,12,0,7,27,44,17,308
395,3,19,0,1,26,35,9,35
396,3,19,0,2,28,32,4,64
397,3,17,0,2,42,48,6,96
398,4,18,0,6,22,29,7,174
399,2,14,0,6,27,34,7,204
400,3,19,0,7,15,45,30,315
401,3,10,0,3,29,34,5,102
402,1,8,0,1,8,15,7,15
403,1,13,0,9,6,6,0,54
404,4,7,0,6,43,47,4,282
405,3,14,0,5,26,50,24,250
406,2,5,0,2,30,33,3,66
407,3,14,0,6,16,18,2,108
408,1,8,0,7,22,40,18,280
409,2,9,0,5,23,26,3,130
410,2,11,0,8,7,10,3,80
411,2,10,0,6,19,30,11,180
412,4,17,0,3,11,41,30,123
413,3,13,0,5,13,20,7,100
414,3,16,0,3,29,49,20,147
415,4,8,0,4,20,29,9,116
416,3,7,0,5,5,8,3,40
417,4,8,0,9,39,43,4,387
418,1,14,0,9,27,34,7,306
419,4,19,0,4,5,28,23,112
420,1,19,0,5,37,40,3,200
421,2,11,0,7,15,30,15,210
422,3,18,0,8,19,45,26,360
423,2,9,0,3,15,50,35,150
424,2,10,0,7,38,45,7,315
425,3,11,0,7,8,47,39,329
426,2,6,0,2,17,27,10,54
427,1,11,0,9,22,44,22,396
428,3,8,0,2,19,25,6,50
429,2,8,0,3,36,48,12,144
430,1,7,0,9,32,48,16,432
431,4,8,0,2,25,31,6,62
432,4,17,0,8,16,34,18,272
433,4,8,0,1,21,48,27,48
434,1,11,0,6,14,33,19,198
435,3,12,0,5,9,42,33,210
436,4,10,0,7,6,42,36,294
437,3,6,0,8,13,20,7,160
438,3,12,0,3,20,48,28,144
439,3,12,0,3,36,45,9,135
440,4,20,0,8,5,24,19,192
441,4,10,0,1,12,33,21,33
442,2,9,0,2,39,43,4,86
443,4,18,0,7,12,32,20,224
444,4,17,0,2,13,44,31,88
445,4,16,0,3,32,39,7,117
446,2,17,0,6,14,17,3,102
447,2,10,0,5,28,33,5,165
448,3,8,0,2,14,15,1,30
449,4,9,0,9,12,32,20,288
450,3,10,0,3,29,48,19,144
451,2,6,0,2,6,46,40,92
452,2,5,0,6,13,14,1,84
453,3,12,0,9,12,41,29,369
454,1,9,0,5,16,26,10,130
455,1,13,0,1,46,47,1,47
456,2,9,0,1,29,33,4,33
457,4,20,0,9,17,35,18,315
458,2,10,0,6,38,43,5,258
459,1,16,0,3,42,50,8,150
460,3,11,0,9,6,35,29,315
461,2,9,0,7,21,29,8,203
462,4,5,0,4,10,35,25,140
463,2,14,0,1,7,15,8,15
464,1,5,0,7,6,23,17,161
465,2,8,0,1,6,7,1,7
466,1,15,0,4,14,16,2,64
467,4,12,0,2,15,41,26,82
468,1,19,0,1,11,25,14,25
469,4,8,0,6,23,30,7,180
470,3,17,0,6,21,43,22,258
471,4,14,0,7,5,43,38,301
472,3,7,0,5,16,18,2,90
473,3,7,0,9,8,22,14,198
474,4,9,0,5,24,33,9,165
475,4,19,0,6,22,38,16,228
476,3,15,0,3,10,30,20,90
477,1,9,0,9,19,21,2,189
478,2,14,0,4,6,15,9,60
479,3,18,0,6,16,29,13,174
480,4,17,0,1,9,31,22,31
481,3,5,0,2,23,50,27,100
482,4,16,0,3,7,8,1,24
483,4,14,0,2,27,32,5,64
484,1,11,0,9,12,30,18,270
485,1,9,0,5,32,38,6,190
486,4,15,0,8,9,45,36,360
487,4,18,0,4,25,42,17,168
488,4,6,0,1,10,12,2,12
489,3,14,0,9,11,21,10,189
490,4,12,0,1,8,12,4,12
491,2,11,0,1,35,45,10,45
492,2,15,0,2,37,40,3,80
493,1,17,0,1,38,40,2,40
494,3,7,0,7,23,30,7,210
495,4,16,0,5,13,34,21,170
496,2,12,0,1,33,42,9,42
497,1,12,0,3,9,33,24,99
498,2,11,0,2,43,43,0,86
499,1,15,0,5,18,22,4,110
500,4,19,0,9,22,24,2,216
501,1,10,0,6,27,50,23,300
502,2,18,0,7,25,49,24,343
503,3,20,0,4,39,43,4,172
504,2,17,0,6,22,46,24,276
505,1,17,0,8,36,46,10,368
506,4,12,0,3,10,40,30,120
507,1,19,0,2,13,48,35,96
508,3,12,0,8,22,30,8,240
509,4,19,0,2,7,38,31,76
510,2,15,0,2,7,20,13,40
511,3,19,0,5,6,9,3,45
512,2,20,0,3,37,40,3,120
513,1,14,0,4,33,46,13,184
514,1,15,0,9,46,47,1,423
515,3,12,0,5,19,40,21,200
516,1,8,0,6,22,25,3,150
517,4,14,0,3,36,43,7,129
518,1,8,0,1,16,26,10,26
519,2,5,0,8,35,37,2,296
520,1,5,0,8,13,21,8,168
521,2,9,0,8,11,36,25,288
522,2,16,0,8,10,21,11,168
523,2,20,0,4,11,46,35,184
524,1,13,0,4,14,36,22,144
525,1,12,0,1,42,46,4,46
526,3,20,0,5,34,43,9,215
527,1,7,0,5,19,50,31,250
528,2,17,0,8,11,24,13,192
529,1,9,0,1,24,33,9,33
530,4,18,0,6,15,49,34,294
531,4,18,0,5,38,48,10,240
532,2,19,0,4,29,30,1,120
533,2,17,0,1,32,40,8,40
534,3,16,0,5,25,27,2,135
535,4,16,0,9,10,31,21,279
536,1,18,0,3,22,23,1,69
537,2,19,0,6,5,21,16,126
538,3,5,0,2,16,43,27,86
539,2,9,0,3,13,30,17,90
540,3,5,0,8,14,24,10,192
541,4,9,0,6,18,40,22,240
542,2,19,0,8,7,44,37,352
543,4,20,0,9,32,34,2,306
544,3,19,0,2,11,19,8,38
545,1,15,0,2,19,45,26,90
546,2,18,0,3,19,33,14,99
547,2,6,0,4,10,26,16,104
548,4,17,0,9,13,39,26,351
549,4,5,0,6,5,34,29,204
550,1,6,0,2,19,37,18,74
551,3,15,0,9,20,27,7,243
552,2,12,0,3,10,42,32,126
553,1,12,0,5,14,49,35,245
554,1,12,0,9,41,44,3,396
555,4,18,0,7,7,11,4,77
556,1,19,0,8,23,28,5,224
557,1,15,0,2,17,30,13,60
558,4,18,0,5,39,48,9,240
559,2,14,0,7,11,40,29,280
560,4,11,0,8,15,15,0,120
561,1,18,0,6,13,39,26,234
562,1,6,0,2,11,23,12,46
563,2,6,0,8,29,50,21,400
564,2,14,0,4,6,22,16,88
565,1,18,0,6,10,45,35,270
566,2,19,0,6,27,35,8,210
567,2,18,0,9,19,44,25,396
568,3,19,0,2,14,16,2,32
569,3,10,0,4,6,31,25,124
570,1,14,0,2,15,43,28,86
571,2,15,0,5,26,32,6,160
572,3,15,0,6,12,48,36,288
573,2,14,0,7,9,12,3,84
574,2,8,0,8,10,13,3,104
575,1,5,0,6,25,44,19,264
576,1,15,0,3,26,36,10,108
577,2,9,0,4,14,33,19,132
578,2,10,0,7,19,20,1,140
579,4,14,0,5,6,9,3,45
580,3,19,0,9,18,27,9,243
581,2,12,0,9,26,45,19,405
582,1,20,0,2,17,28,11,56
583,4,9,0,4,23,44,21,176
584,2,5,0,5,38,49,11,245
585,3,13,0,4,23,41,18,164
586,1,7,0,3,18,23,5,69
587,2,18,0,9,25,44,19,396
588,2,6,0,5,30,33,3,165
589,2,17,0,5,17,29,12,145
590,4,12,0,9,16,19,3,171
591,1,14,0,3,19,22,3,66
592,4,14,0,4,35,47,12,188
593,4,9,0,3,30,38,8,114
594,4,19,0,7,31,33,2,231
595,2,16,0,9,23,27,4,243
596,4,13,0,5,35,35,0,175
597,1,10,0,1,31,40,9,40
598,1,19,0,8,28,48,20,384
599,4,17,0,6,16,20,4,120
600,2,9,0,5,5,34,29,170
601,1,13,0,3,27,46,19,138
602,4,13,0,6,30,30,0,180
603,4,17,0,9,8,10,2,90
604,2,12,0,3,19,23,4,69
605,2,14,0,1,7,47,40,47
606,2,18,0,6,36,50,14,300
607,2,19,0,3,16,38,22,114
608,1,16,0,6,10,34,24,204
609,4,5,0,9,20,45,25,405
610,4,6,0,1,5,47,42,47
611,4,20,0,5,9,45,36,225
612,4,11,0,9,5,28,23,252
613,3,8,0,7,26,41,15,287
614,1,18,0,6,13,22,9,132
615,4,11,0,4,8,46,38,184
616,2,19,0,3,24,45,21,135
617,1,15,0,2,11,16,5,32
618,4,12,0,6,32,50,18,300
619,4,20,0,4,8,43,35,172
620,4,13,0,5,23,47,24,235
621,4,9,0,6,14,39,25,234
622,4,10,0,8,21,46,25,368
623,3,12,0,3,26,27,1,81
624,1,15,0,1,16,42,26,42
625,1,15,0,8,26,42,16,336
626,4,10,0,2,10,17,7,34
627,4,20,0,1,10,45,35,45
628,1,13,0,8,31,43,12,344
629,1,13,0,8,5,16,11,128
630,4,15,0,3,36,47,11,141
631,3,16,0,9,34,38,4,342
632,3,10,0,7,16,30,14,210
633,4,5,0,3,6,42,36,126
634,4,6,0,1,26,40,14,40
635,3,6,0,5,32,50,18,250
636,1,14,0,8,29,36,7,288
637,3,16,0,9,6,10,4,90
638,3,9,0,4,24,25,1,100
639,2,13,0,7,13,21,8,147
640,3,16,0,2,32,44,12,88
641,4,10,0,8,14,40,26,320
642,1,11,0,3,31,36,5,108
643,4,13,0,8,6,38,32,304
644,3,5,0,1,29,45,16,45
645,3,11,0,2,7,36,29,72
646,3,16,0,6,20,31,11,186
647,2,14,0,5,7,12,5,60
648,1,12,0,3,10,35,25,105
649,4,15,0,7,23,50,27,350
650,1,13,0,9,29,48,19,432
651,3,19,0,8,15,37,22,296
652,4,7,0,8,10,24,14,192
653,4,20,0,9,6,32,26,288
654,3,10,0,7,16,46,30,322
655,3,5,0,2,24,31,7,62
656,3,16,0,5,25,36,11,180
657,3,19,0,7,11,15,4,105
658,2,6,0,1,43,45,2,45
659,4,16,0,7,46,48,2,336
660,2,6,0,9,35,42,7,378
661,4,9,0,6,29,46,17,276
662,4,18,0,1,9,38,29,38
663,4,7,0,4,38,41,3,164
664,4,12,0,5,7,45,38,225
665,4,9,0,2,20,48,28,96
666,3,5,0,6,41,47,6,282
667,1,11,0,3,7,28,21,84
668,1,15,0,5,35,40,5,200
669,3,15,0,8,14,17,3,136
670,3,19,0,8,21,45,24,360
671,1,5,0,2,25,28,3,56
672,3,13,0,8,17,29,12,232
673,2,8,0,7,44,46,2,322
674,1,16,0,6,8,49,41,294
675,2,13,0,7,49,50,1,350
676,4,8,0,9,5,44,39,396
677,1,8,0,6,11,20,9,120
678,2,11,0,8,5,31,26,248
679,1,18,0,1,31,38,7,38
680,4,7,0,1,27,44,17,44
681,1,10,0,9,5,46,41,414
682,1,9,0,6,34,36,2,216
683,2,9,0,1,39,49,10,49
684,2,12,0,7,30,50,20,350
685,4,7,0,3,9,27,18,81
686,3,20,0,8,27,38,11,304
687,1,17,0,3,36,43,7,129
688,1,15,0,9,21,41,20,369
689,4,19,0,6,11,39,28,234
690,3,11,0,5,11,39,28,195
691,4,20,0,9,34,36,2,324
692,3,15,0,6,13,49,36,294
693,1,6,0,5,17,18,1,90
694,1,7,0,7,24,39,15,273
695,1,7,0,3,13,36,23,108
696,3,16,0,4,18,40,22,160
697,1,7,0,1,17,27,10,27
698,3,6,0,7,13,43,30,301
699,1,6,0,8,30,30,0,240
700,3,12,0,2,7,37,30,74
701,3,5,0,4,41,46,5,184
702,1,17,0,3,22,26,4,78
703,1,6,0,6,31,40,9,240
704,2,14,0,1,9,34,25,34
705,1,5,0,1,19,35,16,35
706,3,10,0,9,31,41,10,369
707,2,18,0,9,15,50,35,450
708,3,19,0,2,15,20,5,40
709,1,10,0,5,21,23,2,115
710,3,8,0,7,9,35,26,245
711,1,14,0,2,10,20,10,40
712,4,6,0,1,21,28,7,28
713,2,14,0,9,42,45,3,405
714,1,19,0,9,37,46,9,414
715,3,16,0,6,10,48,38,288
716,3,13,0,8,11,28,17,224
717,4,16,0,6,20,50,30,300
718,3,6,0,7,6,31,25,217
719,2,5,0,8,6,38,32,304
720,2,17,0,9,21,22,1,198
721,2,9,0,1,24,29,5,29
722,1,5,0,7,5,6,1,42
723,4,13,0,3,6,15,9,45
724,3,12,0,7,6,42,36,294
725,2,20,0,9,25,35,10,315
726,4,8,0,8,43,47,4,376
727,4,18,0,5,13,21,8,105
728,4,18,0,6,18,21,3,126
729,2,9,0,9,23,30,7,270
730,3,5,0,8,9,50,41,400
731,4,17,0,5,11,48,37,240
732,2,15,0,7,15,42,27,294
733,3,17,0,4,13,25,12,100
734,4,7,0,4,10,45,35,180
735,1,11,0,2,25,31,6,62
736,2,12,0,8,17,24,7,192
737,3,15,0,2,22,48,26,96
738,4,16,0,9,41,49,8,441
739,3,19,0,1,20,48,28,48
740,3,6,0,3,30,45,15,135
741,1,7,0,8,24,28,4,224
742,2,18,0,2,21,49,28,98
743,4,17,0,1,39,47,8,47
744,4,20,0,5,7,34,27,170
745,3,15,0,7,11,47,36,329
746,1,9,0,3,29,48,19,144
747,1,18,0,4,35,43,8,172
748,3,12,0,9,22,33,11,297
749,1,12,0,8,15,50,35,400
750,1,6,0,9,15,33,18,297
751,1,18,0,9,9,28,19,252
752,1,7,0,5,33,40,7,200
753,1,16,0,9,7,19,12,171
754,4,12,0,6,30,35,5,210
755,4,5,0,3,14,15,1,45
756,1,7,0,3,42,45,3,135
757,3,7,0,1,33,34,1,34
758,3,15,0,7,10,46,36,322
759,4,14,0,6,11,15,4,90
760,1,14,0,6,12,49,37,294
761,1,11,0,6,23,35,12,210
762,2,20,0,5,36,47,11,235
763,1,13,0,7,39,40,1,280
764,2,16,0,9,19,24,5,216
765,1,15,0,2,7,23,16,46
766,4,11,0,5,8,41,33,205
767,3,14,0,9,8,47,39,423
768,1,12,0,9,24,40,16,360
769,1,14,0,5,18,48,30,240
770,3,5,0,8,13,30,17,240
771,4,13,0,7,26,38,12,266
